domain_name,agency_organization,maintaining_office,use_case,agency_type,branch,state,comments,link,date_added,city,security_contact_email
albanyca.org,,,,local,,California,"Official city of Albany, CA website -- Note added 3/2/15 20:59",http://albanyca.org/,6/6/13 18:08,,
albanycounty.com,,,,county,,New York,"Albany County, NY -- Note added 12/6/13 13:38",http://albanycounty.com/Home.aspx,6/6/13 18:08,,
albanymo.net,,,,local,,Missouri,"City of Albany, MO -- Note added 9/2/15 14:11",http://www.albanymo.net/,6/6/13 18:08,,
albanynh.org,,,,local,,New Hampshire,"albany, nh -- Note added 8/28/15 18:34",http://www.albanynh.org/,6/6/13 18:08,,
albanyny.org,,,,local,,New York,"City of Albany, NY -- Note added 7/24/13 18:57",http://www.albanyny.org/Home.aspx,6/6/13 18:08,,
albanytownship.com,,,,local,,Minnesota,"Albany Township, MN -- Note added 7/19/13 13:37",http://albanytownship.com/Home.php,6/6/13 18:08,,
albemarle.org,,,,county,,Virginia,"Albemarle County, VA -- Note added 5/27/14 14:17",http://www.albemarle.org/,6/6/13 18:08,,
albionme.com,,,,local,,Maine,"Town of Albion, ME -- Note added 7/18/14 11:27",http://www.albionme.com/,6/6/13 18:08,,
albme.org,,,,state,,Alabama,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,http://albme.org/,6/6/13 18:08,,
albop.com,,,,state,,Alabama,Alabama Board of Pharmacy -- Note added 6/12/13 16:47,http://albop.com/,6/6/13 18:08,,
alburtis.org,,,,local,,Pennsylvania,"Borough of Alburtis, PA -- Note added 6/30/14 15:44",http://alburtis.org/,6/6/13 18:08,,
aleutianseast.org,,,,local,,Alaska,"Aleutians East Borough, AK -- Note added 6/7/13 12:38",http://www.aleutianseast.org/,6/6/13 18:08,,
alexandercityonline.com,,,,local,,Alabama,"Alexander City, AL -- Note added 6/12/13 17:14",http://www.alexandercityonline.com/,6/6/13 18:08,,
alexandria-nj.us,,,,local,,New Jersey,"Alexandria Township, NJ  -- Note added 6/30/14 11:40",http://alexandria-nj.us/,6/6/13 18:08,,
alexandrianh.com,,,,local,,New Hampshire,"alexandria, nh -- Note added 8/28/15 18:35",http://alexandrianh.com/,6/6/13 18:08,,
alexandriatownship.org,,,,local,,Minnesota,"Alexandria Township, MN -- Note added 3/11/15 15:17",http://www.alexandriatownship.org/,6/6/13 18:08,,
alfredme.us,,,,local,,Maine,"alfred, me -- Note added 8/27/15 17:56",http://www.alfredme.us/,6/6/13 18:08,,
alfredny.org,,,,local,,New York,"Village of Alfred, NY -- Note added 6/8/15 12:04",http://alfredny.org/,6/6/13 18:08,,
algomacity.org,,,,local,,Wisconsin,"City of Algoma, WI -- Note added 7/25/14 5:05",http://www.algomacity.org/,6/6/13 18:08,,
algonquin.org,,,,local,,Illinois,"Village of Algonquin, IL -- Note added 7/1/14 18:55",http://algonquin.org/,6/6/13 18:08,,
alhurra.com,U.S. Agency for Global Media,,,federal,unspecified,,"Alhurra Television, Middle East Broadcasting Networks, Inc. (as listed at http://www.bbg.gov/broadcasters/mbn/).  -- Note added 11/18/13 14:45",http://www.alhurra.com/,7/31/13 15:03,,
allamuchynj.org,,,,local,,New Jersey,"Village of Allamuchy, NJ -- Note added 6/30/14 11:42",http://allamuchynj.org/,7/24/13 18:59,,
cms.allegancounty.org,,,,county,,Michigan,"allegan county, nh -- Note added 9/2/15 19:55",http://cms.allegancounty.org/sitepages/default.aspx#.VedTH_lViko,6/6/13 18:08,,
alleganyco.com,,,,county,,New York,"Allegany County, NY -- Note added 6/7/15 19:57",http://alleganyco.com/,6/6/13 18:08,,
alleghanycounty.us,,,,county,,Virginia,"Alleghany County, VA -- Note added 8/28/13 12:11",http://www.alleghanycounty.us/index.html,6/6/13 18:08,,
alleghenycounty.us,,,,county,,Pennsylvania,"Allegheny County, PA -- Note added 7/24/13 13:26",http://alleghenycounty.us/,7/24/13 13:26,,
alleghenytownship.net,,,,local,,Pennsylvania,"Allegheny Township, Westmoreland County, PA -- Note added 9/23/15 12:55",http://alleghenytownship.net/,9/23/15 12:55,,
allencounty.org,,,,county,,Kansas,"Allen County, KS -- Note added 6/30/14 6:17",http://allencounty.org/,6/6/13 18:08,,
allencountykentucky.com,,,,county,,Kentucky,"allen county, Ky -- Note added 8/27/15 15:11",http://allencountykentucky.com/,6/6/13 18:08,,
allendalecounty.com,,,,county,,South Carolina,"Allendale County, SC -- Note added 7/23/13 19:51",http://allendalecounty.com/,6/6/13 18:08,,
allenhurstnj.org,,,,local,,New Jersey,"Borough of Allenhurst, NJ -- Note added 6/30/14 16:14",http://allenhurstnj.org/content/125/default.aspx,6/6/13 18:08,,
allentownship.org,,,,local,,Pennsylvania,"Allen Township, PA -- Note added 6/30/14 15:47",http://allentownship.org/,6/6/13 18:08,,
almacity.com,,,,local,,Nebraska,"City of Alma, NE -- Note added 12/6/13 18:48",http://www.almacity.com/,6/6/13 18:08,,
almawisconsin.com,,,,local,,Wisconsin,"City of Alma, WI -- Note added 7/25/14 5:06",http://almawisconsin.com/,6/6/13 18:08,,
alpenacounty.org,,,,county,,Michigan,"alpena county, mi -- Note added 9/2/15 19:55",http://alpenacounty.org/,6/6/13 18:08,,
alphaboro.org,,,,county,,New Jersey,"Borough of Alpha, NJ (Warren County) -- Note added 6/30/14 11:46",http://alphaboro.org/,6/6/13 18:08,,
alpharetta.ga.us,,,,local,,Georgia,"Alpharetta, GA -- Note added 8/25/15 14:03",http://www.alpharetta.ga.us/,6/6/13 18:08,,
alpinecity.org,,,,local,,Utah,"City of Alpine, UT -- Note added 8/19/14 4:58",http://www.alpinecity.org/,6/6/13 18:08,,
alpinenj07620.org,,,,county,,New Jersey,"Borough of Alpine, NJ (Bergen County) -- Note added 6/30/14 11:48",http://alpinenj07620.org/index.html,6/6/13 18:08,,
alpinetwp.org,,,,local,,Michigan,"alpine township, mi -- Note added 9/2/15 19:56",http://alpinetwp.org/,6/6/13 18:08,,
alsde.edu,,,,state,,Alabama,Alabama State Department of Education -- Note added 6/12/13 17:15,http://www.alsde.edu/Pages/home.aspx,6/6/13 18:08,,
alsteadnh.org,,,,local,,New Hampshire,"alstead, nh -- Note added 8/28/15 18:35",http://www.alsteadnh.org/,6/6/13 18:08,,
altamonte.org,,,,local,,Florida,"City of Altamonte Springs, FL -- Note added 2/25/15 15:22",http://altamonte.org/,6/6/13 18:08,,
altamontil.net,,,,local,,Illinois,"City of Altamont, IL -- Note added 7/1/14 18:55",http://altamontil.net/,6/6/13 18:08,,
altamontvillage.org,,,,local,,New York,"Village of Altamont, NY -- Note added 6/8/15 12:05",http://altamontvillage.org/Pages/index,6/6/13 18:08,,
alton-il.com,,,,local,,Illinois,"City of Alton, IL -- Note added 7/1/14 19:14",http://www.alton-il.com/,6/6/13 18:08,,
altoona-iowa.com,,,,local,,Iowa,"Altoona, Ia -- Note added 8/25/15 19:56",http://www.altoona-iowa.com/,6/6/13 18:08,,
alvaok.org,,,,local,,Oklahoma,"alva, ok -- Note added 8/28/15 16:27",http://alvaok.org/,6/6/13 18:08,,
amador-city.com,,,,local,,California,Amador City website -- Note added 3/10/15 16:31,http://www.amador-city.com/amador-city-government.html,6/6/13 18:08,,
ambridgeboro.org,,,,local,,Pennsylvania,"Borough of Ambridge, PA -- Note added 6/30/14 15:48",http://www.ambridgeboro.org/,6/6/13 18:08,,
ameliacova.com,,,,county,,Virginia,"Amelia County, VA -- Note added 5/27/14 20:31",http://www.ameliacova.com/,6/6/13 18:08,,
americansamoa.travel,,,,state,,American Samoa,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22,http://www.americansamoa.travel/,6/6/13 19:11,,
americorpsconnect.org,Corporation for National and Community Service,,,federal,unspecified,,"AmeriCorps Connect, Corporation for National and Community Service -- Note added 6/6/13 18:08",,6/6/13 18:08,,
amerywisconsin.org,,,,local,,Wisconsin,"City of Amery, WI -- Note added 11/20/13 16:12",http://amerywisconsin.org/,6/6/13 18:08,,
amherst.ny.us,,,,local,,New York,"Town of Amherst, NY -- Note added 5/27/15 18:42",http://www.amherst.ny.us/,6/6/13 18:08,,
amityville.com,,,,local,,New York,"Village of Amityville, Long Island, NY -- Note added 6/8/15 12:05",http://amityville.com/,6/6/13 18:08,,
amtrak.com,National Railroad Passenger Corporation,,,federal,unspecified,,"Amtrak, the National Railroad Passenger Corporation -- Note added 11/18/13 14:58",http://www.amtrak.com/home,6/6/13 18:08,,
amtrakcascades.com,,,,state,,Washington,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40",http://amtrakcascades.com/,7/30/13 13:27,,
amver.com,U.S. Coast Guard,,,federal,unspecified,,"Automated Mutual Assistance Vessel Rescue (AMVER) System, sponsored by the United States Coast Guard, is a computer-based voluntary global ship reporting system used worldwide by search and rescue authorities to arrange for assistance to persons in distress at sea. -- Note added 1/23/15 15:04",http://www.amver.com/,1/23/15 15:03,,
anaheim.net,,,,local,,California,City of Anaheim website -- Note added 3/3/15 19:03,http://anaheim.net/,6/6/13 18:08,,
anc1c.org,,,,local,,District of Columbia,DC Advisory Neighborhood Commission 1C -- Note added 6/7/13 17:33,,6/6/13 18:08,,
anc2e.com,,,,local,,District of Columbia,DC Advisory Neighborhood Commission 2E -- Note added 6/7/13 17:34,,6/6/13 18:08,,
anc2f.org,,,,local,,District of Columbia,DC Advisory Neighborhood Commission 2F -- Note added 6/7/13 17:34,,6/6/13 18:08,,
anc3e.org,,,,local,,District of Columbia,DC Advisory Neighborhood Commission 3E -- Note added 6/7/13 17:35,,6/6/13 18:08,,
anderson.govoffice.com,,,,local,,Alaska,"City of Anderson, AK -- Note added 6/7/13 12:39",http://www.anderson.govoffice.com/,6/6/13 18:09,,
andersoncountysc.org,,,,county,,South Carolina,"anderson county, sc -- Note added 8/28/15 13:17",http://www.andersoncountysc.org/,6/6/13 18:08,,
andersontownship.org,,,,local,,Ohio,"Anderson Township, OH -- Note added 3/10/14 15:11",http://www.andersontownship.org/,6/6/13 18:08,,
andover.nh.us,,,,local,,New Hampshire,"Town of Andover, NH -- Note added 7/23/13 19:47",http://andover.nh.us/,6/6/13 18:08,,
andoverct.org,,,,local,,Connecticut,"Town of Andover, CT -- Note added 12/15/14 6:13",http://andoverct.org/,6/6/13 18:08,,
andoverks.com,,,,local,,Kansas,"City of Andover, KS -- Note added 6/6/13 18:08",http://andoverks.com/,6/6/13 18:08,,
